Country,Country_ISO3,Region,Theme,Plan name,SP_Label,Strategic priority code,SDG Goals
Timor-Leste,TLS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,TLS_environment_2,2.0,"1 No Poverty; 5 Gender Equality; 8 Decent Jobs and Economic Growth; 9 Industry, Innovation and Infrastructure; 16 Peace and Justice - Strong Institutions"
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_3,3.0,12 Responsible Consumption and Production
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_1,1.0,3 Good Health and Well-being
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_3,3.0,16 Peace and Justice - Strong Institutions
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,2 Zero Hunger
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_2,2.0,"9 Industry, Innovation and Infrastructure"
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_1,1.0,4 Quality Education
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,4 Quality Education; 13 Climate Action
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_1,1.0,3 Good Health and Well-being
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,5 Gender Equality; 16 Peace and Justice - Strong Institutions
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_1,1.0,6 Clean Water and Sanitation
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_1,1.0,13 Climate Action; 17 Partnerships for the Goals
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_1,1.0,5 Gender Equality; 16 Peace and Justice - Strong Institutions
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_1,1.0,12 Responsible Consumption and Production
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_1,1.0,6 Clean Water and Sanitation; 11 Sustainable Cities and Communities; 12 Responsible Consumption and Production
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_1,1.0,2 Zero Hunger
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_1,1.0,3 Good Health and Well-being; 13 Climate Action
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_1,1.0,4 Quality Education
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,6 Clean Water and Sanitation
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_1,1.0,2 Zero Hunger; 17 Partnerships for the Goals
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_1,1.0,12 Responsible Consumption and Production
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_1,1.0,2 Zero Hunger
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_1,1.0,1 No Poverty
India,IND,Asia Pacific,environment,United Nations Development Assistance Framework,IND_environment_1,1.0,3 Good Health and Well-being
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_1,1.0,2 Zero Hunger
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,2 Zero Hunger
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_1,1.0,1 No Poverty; 3 Good Health and Well-being
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,3 Good Health and Well-being
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,3 Good Health and Well-being
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_1,1.0,3 Good Health and Well-being
India,IND,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IND_environment_1,1.0,3 Good Health and Well-being
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_1,1.0,3 Good Health and Well-being; 11 Sustainable Cities and Communities
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,1 No Poverty; 5 Gender Equality; 10 Reduced Inequalities
Papua New Guinea,PNG,Asia Pacific,environment,United Nations Development Assistance Framework,PNG_environment_1,1.0,1 No Poverty; 2 Zero Hunger; 12 Responsible Consumption and Production
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_1,1.0,3 Good Health and Well-being
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,3 Good Health and Well-being
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_1,1.0,3 Good Health and Well-being
Nepal,NPL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,NPL_environment_1,1.0,"1 No Poverty; 9 Industry, Innovation and Infrastructure; 11 Sustainable Cities and Communities"
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,3 Good Health and Well-being
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_1,1.0,3 Good Health and Well-being
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,8 Decent Jobs and Economic Growth
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_1,1.0,4 Quality Education
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,13 Climate Action
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_1,1.0,4 Quality Education
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_1,1.0,3 Good Health and Well-being; 11 Sustainable Cities and Communities; 13 Climate Action; 16 Peace and Justice - Strong Institutions; 17 Partnerships for the Goals
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,13 Climate Action
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_4,4.0,13 Climate Action
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,2 Zero Hunger
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_4,4.0,16 Peace and Justice - Strong Institutions
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,4 Quality Education
Bangladesh,BGD,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BGD_environment_1,1.0,4 Quality Education
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,6 Clean Water and Sanitation; 13 Climate Action
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_1,1.0,6 Clean Water and Sanitation
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,15 Life on Land
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,15 Life on Land
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,15 Life on Land
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,15 Life on Land
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,4 Quality Education
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,4 Quality Education
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,15 Life on Land
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,4 Quality Education; 13 Climate Action
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,2 Zero Hunger
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_1,1.0,4 Quality Education
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,4 Quality Education; 13 Climate Action
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_1,1.0,4 Quality Education
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,1 No Poverty
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,15 Life on Land
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,6 Clean Water and Sanitation
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_2,2.0,13 Climate Action; 17 Partnerships for the Goals
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,12 Responsible Consumption and Production
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_3,3.0,1 No Poverty; 4 Quality Education; 5 Gender Equality; 8 Decent Jobs and Economic Growth; 10 Reduced Inequalities; 17 Partnerships for the Goals
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,"9 Industry, Innovation and Infrastructure"
Timor-Leste,TLS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,TLS_environment_3,3.0,4 Quality Education
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_2,2.0,5 Gender Equality; 8 Decent Jobs and Economic Growth; 17 Partnerships for the Goals
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_1,1.0,5 Gender Equality
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_3,3.0,13 Climate Action; 15 Life on Land
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,7 Affordable and Clean Energy
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_2,2.0,1 No Poverty; 2 Zero Hunger
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,7 Affordable and Clean Energy
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,"7 Affordable and Clean Energy; 9 Industry, Innovation and Infrastructure; 12 Responsible Consumption and Production"
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_4,4.0,10 Reduced Inequalities
