Country,Country_ISO3,Region,Theme,Plan name,SP_Label,Strategic priority code,Agencies
Timor-Leste,TLS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,TLS_environment_2,2.0,"International Labour Organisation; UN Women; United Nations Capital Development Fund; United Nations Children's Fund; United Nations Development Programme; United Nations Economic and Social Commission for Asia and the Pacific; United Nations Educational, Scientific and Cultural Organisation; United Nations Industrial Development Organization; United Nations Volunteers"
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_3,3.0,United Nations Environment Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_1,1.0,World Health Organization
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_3,3.0,United Nations Development Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,Food and Agriculture Organization of the United Nations
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_2,2.0,United Nations Industrial Development Organization
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_1,1.0,United Nations Children's Fund
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,United Nations Children's Fund; United Nations Development Programme
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_1,1.0,United Nations Population Fund
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,United Nations Children's Fund
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_1,1.0,World Health Organization
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_1,1.0,United Nations Development Programme
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_1,1.0,United Nations Economic and Social Commission for Asia and the Pacific
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_1,1.0,Food and Agriculture Organization of the United Nations
